mean,cv
60.64570147,1.261185764
62.44491381,1.275864958
61.05380177,1.228222113
63.38243163,1.231582732
69.49937354,1.201673106
67.35473819,1.217377836
71.08355911,1.226340898
75.82179834,1.278132475
83.36375723,1.33968089
98.5518696,1.326617397
134.7169027,1.825354856
209.4011803,2.257643459
265.4062141,2.369401295
1606.976973,1.728308116
1266.695367,1.845870862
4244.473967,1.03766318
5669.04055,0.803538281
7344.32959,0.647666798
9640.496416,0.591081973
10138.17244,0.520254537
11145.61961,0.530611006
12189.08432,0.516545847
12991.25304,0.50813707
14107.01467,0.520632111
14440.6527,0.516311658
61.8986896,1.250894613
65.53908089,1.215593136
64.05868333,1.260378334
63.97725123,1.223808069
67.86310968,1.226205393
72.23088604,1.219494374
72.0891847,1.21562067
85.95792514,1.335680032
98.12185983,1.404292661
137.6162462,1.740512465
121.9310727,1.51488493
298.9406315,2.611028282
391.144922,2.649053622
2259.339638,1.524962675
2939.779039,1.310601074
5027.829921,0.95202884
5826.944659,0.827360184
8458.440873,0.651489622
9792.640234,0.60934921
10648.43231,0.570676163
12788.12698,0.545092577
13210.68411,0.531698395
14408.21945,0.523221083
15264.18317,0.52357531
14973.76623,0.513411142
66.32833004,1.168901017
71.30241048,1.160595952
74.1348529,1.156809608
73.31114756,1.148422794
76.10227196,1.155264131
81.18558955,1.153535189
83.85970238,1.116386223
92.15294276,1.19878131
105.289517,1.289446352
119.847402,1.32494082
155.0631659,1.670467831
205.0080847,1.940551428
418.4482031,2.423302005
1470.450879,1.732707946
1658.260996,1.682612823
3940.901813,1.087570898
5947.033342,0.795492582
7433.473633,0.689199206
9249.601452,0.613126217
11418.75068,0.569087865
11377.69375,0.55983643
12796.68988,0.526035327
13461.56458,0.534911915
14169.98145,0.511541133
14464.31961,0.491998103
103.5141091,0.925584663
109.9181821,0.968772144
107.7058586,0.940338629
113.2932588,0.930991069
110.334192,0.941466725
116.412445,0.950878664
120.3947001,0.938994863
125.1408101,0.979192651
133.1061234,0.992334942
152.8844938,1.165862197
177.9681499,1.174350767
275.7823964,2.13474793
408.5576982,2.282673786
1423.456377,1.853365316
2388.461327,1.412034039
3807.712603,1.082426027
6261.873374,0.775108748
7803.190508,0.687089129
9398.503395,0.590109805
11175.07645,0.554553802
12039.68122,0.517840017
12759.74866,0.513162926
13507.11429,0.51509444
14353.21131,0.512019221
14657.92667,0.488815898
319.8050631,0.607348531
332.7887061,0.600533008
338.6298671,0.587289573
341.644139,0.588677834
338.2124316,0.591849604
345.0381935,0.596713855
359.0566658,0.579239646
346.5080959,0.592121489
364.6947748,0.597491122
386.4795663,0.599757907
408.5955989,0.639892512
471.1654987,0.868652012
650.7077161,1.326033826
969.3726725,1.666245169
1688.521916,1.416653703
2465.70198,1.248487518
5525.787874,0.831924128
7394.536846,0.695777812
9007.938836,0.563121807
10104.13463,0.520199954
11468.06792,0.505240411
12748.05948,0.48710831
13333.09048,0.497584059
13452.05534,0.457882219
14294.73512,0.448820841
1002.163859,0.326066535
1014.221959,0.329223211
1006.587992,0.324970874
1030.248344,0.321566831
1032.46168,0.319498856
1040.021293,0.322429286
1046.975018,0.332741131
1032.086941,0.318484448
1065.186919,0.316229258
1074.074738,0.338180239
1107.278985,0.350837267
1165.090382,0.46580621
1370.054426,0.768254498
1733.385897,1.020699857
2360.620933,1.09422236
3938.531344,0.976234926
6372.147081,0.748551721
8161.931108,0.660689819
10494.59631,0.545256845
12005.95133,0.505447683
13335.84229,0.509034853
14384.45137,0.48946095
14954.93455,0.503294723
15945.77214,0.454500984
16351.33636,0.455366815
1902.039326,0.298529699
1961.371559,0.300641358
1999.144866,0.303980607
1959.473562,0.312974853
2007.88488,0.321390791
1962.19567,0.324032469
1937.964141,0.312639314
2004.196816,0.279167172
2021.426731,0.310868878
2044.602485,0.337056592
2096.989931,0.372905616
2197.02017,0.428608901
2254.136863,0.464582286
4359.06788,0.861798203
6653.651614,0.725388139
8239.033791,0.671874816
10316.72879,0.57783794
12094.68873,0.537590391
14630.22793,0.48431108
14898.25313,0.472482086
16093.22749,0.487102182
17254.85867,0.467259384
18276.9496,0.460864844
19541.51135,0.460531826
20645.71425,0.44367375
2456.297502,0.360846703
2481.080979,0.351064266
2479.192484,0.348482582
2490.176556,0.362550538
2501.271025,0.359176834
2516.424968,0.370663764
2553.307475,0.36496538
2552.502704,0.359063028
2596.446389,0.378444446
2557.727153,0.366198067
2636.924816,0.376448414
2722.376281,0.416439842
2844.624631,0.483574772
3805.064965,0.750456823
4000.677098,0.743789045
6548.736397,0.756952752
8627.121124,0.674166559
10584.65551,0.584110486
12559.52229,0.525803154
14970.39012,0.501740857
16459.27757,0.465901582
17472.11779,0.463721688
18651.65212,0.459842817
18845.41629,0.452185044
19337.39764,0.434744188
65.82438629,1.142335042
72.96802119,1.186377576
71.71613515,1.142432383
70.93044297,1.258751195
74.68834544,1.207882217
77.23237385,1.167025963
81.78683353,1.197144407
91.46080804,1.218333547
94.41465789,1.314531845
114.8655059,1.31136029
168.1560366,1.75088879
245.5346134,2.137048765
371.647655,2.534580038
1495.853096,1.787434068
2296.067689,1.491930841
4046.835579,1.091545716
6120.75829,0.845530504
7881.283313,0.716365759
9294.944285,0.633338282
11333.64415,0.556757422
12778.00551,0.570609009
13318.9633,0.530089397
13819.33118,0.530044195
14188.04262,0.513153183
15171.4224,0.535330277
64.15267636,1.208825415
74.25788724,1.211680616
72.54049356,1.173105213
73.34797532,1.147169165
74.61838761,1.21871288
78.14232044,1.217352248
80.49777041,1.208387166
88.74398227,1.158247021
97.6551648,1.282656793
116.4391137,1.27658061
143.7032053,1.553576932
217.6867408,2.067249575
339.1870293,2.475633806
1079.15346,1.995617189
1785.272645,1.653241845
3403.732035,1.1872019
5509.533903,0.892381551
7575.522169,0.689188119
9599.665092,0.594208281
10859.46971,0.557058123
11485.13136,0.554672713
12983.33128,0.528375889
13214.1645,0.512732421
14147.8093,0.517170436
14895.79958,0.515899374
76.00840998,1.07142421
79.62617066,1.102282672
82.48027046,1.078682711
82.84569487,1.071671878
82.73171427,1.141606367
87.62754726,1.068559395
91.63862996,1.05278385
101.064574,1.113363448
120.47107,1.210221386
142.6138678,1.305826717
168.4245334,1.391262002
281.4003172,2.23401501
367.7828031,2.480600227
1150.058368,1.868557005
2137.015081,1.47052251
4064.927882,1.065091579
6181.037163,0.805416054
7584.335547,0.727705196
9506.258399,0.639405527
11268.37078,0.553843544
11808.10274,0.560319047
13192.91653,0.540407893
14108.03641,0.525478654
15123.66172,0.523393087
15641.63289,0.509618956
161.6320541,0.792241044
159.5301882,0.793948096
159.899413,0.787582556
164.9868004,0.77748883
167.98751,0.803438093
170.171979,0.771358205
168.1363913,0.786677556
178.0909818,0.834446778
188.6116904,0.831978475
194.2772098,0.82240244
233.8733316,0.951319839
313.0304321,1.63676148
367.4408833,1.74650139
1190.819165,1.931777276
2561.567498,1.349397489
3825.176882,1.051774323
6032.001638,0.809635043
7618.547332,0.67328245
9279.952684,0.591022477
10466.6443,0.504850746
10501.10843,0.542332753
13077.5943,0.493048366
13486.94018,0.507847615
14599.68033,0.499255374
14503.50997,0.470938575
553.223728,0.465437458
533.3852485,0.477784167
560.0397259,0.465621086
558.1936701,0.453870225
562.0700177,0.461319348
570.3997068,0.453387273
558.311701,0.468336379
574.4447607,0.458338733
587.4816512,0.442654258
606.2496659,0.461823714
637.2929307,0.486971422
702.7244858,0.716108675
812.7842139,0.955122823
1116.743241,1.299696966
2101.589324,1.333187716
3513.043329,1.096406897
4495.498457,0.888751556
6123.74944,0.728652682
9785.905017,0.584884785
11017.44477,0.553618033
12542.43961,0.528659495
14016.54367,0.507679884
15332.11358,0.502938719
15760.6221,0.499449625
15778.07905,0.477985923
1435.431024,0.280544847
1443.580832,0.281629576
1439.150149,0.294076433
1452.238597,0.288525782
1458.806524,0.300157804
1464.538973,0.293993758
1477.139263,0.304379657
1456.85221,0.29711802
1478.888407,0.297934591
1504.784674,0.307467144
1520.914692,0.33161011
1607.775071,0.396448751
1804.721892,0.605178504
2225.016744,0.846706919
3244.048423,0.909313976
4784.835648,0.890938439
7554.966173,0.719923258
9289.294415,0.598379989
11681.57911,0.551167879
12917.43586,0.489520057
14208.97043,0.482856126
15423.7496,0.472592179
16218.95301,0.461291297
16893.75472,0.452324631
17914.44287,0.459896704
2156.935061,0.319766417
2188.729422,0.320942588
2173.195988,0.319706782
2226.744306,0.324409569
2214.434561,0.311885444
2216.08404,0.335166037
2206.449166,0.323940847
2208.50172,0.332887512
2216.275337,0.340184536
2275.23392,0.363542772
2300.305589,0.353174524
2445.999811,0.44686932
2594.099961,0.489666488
3059.42422,0.726450054
3474.484663,0.806354559
5771.866409,0.794942555
8554.268691,0.651788267
9602.536203,0.606422521
12533.94106,0.531107542
13872.12675,0.47710792
13000.81549,0.517063713
16404.94179,0.469498832
17428.02806,0.447079397
18075.43942,0.450858298
19177.99864,0.432864109
2657.288287,0.372438149
2512.899087,0.36011741
2623.222315,0.366608567
2655.017447,0.391476706
2689.026849,0.375245756
2678.158459,0.365988328
2560.400338,0.34564322
2576.475499,0.377847248
2709.424999,0.386441791
2681.347677,0.376855809
2766.331545,0.381008706
2843.864733,0.417042749
2869.479327,0.437394209
2930.490658,0.552336493
4082.440343,0.754284169
6028.461853,0.79071128
8867.448111,0.657950441
10733.13025,0.58512949
13085.55226,0.537543941
13809.64665,0.490901286
16282.50277,0.478523266
17193.88789,0.461388973
17226.77222,0.426416361
18812.85735,0.449648683
19888.84099,0.44347928
60.87595636,1.279953023
71.41836305,1.163342464
76.4134588,1.204016602
70.14509766,1.213087345
74.61300491,1.190096277
81.98187571,1.205409386
80.60576022,1.185034488
93.33215249,1.298723694
112.6626762,1.295582603
123.840786,1.341358336
152.9736605,1.699363384
230.9349713,1.928717145
352.041025,2.555247843
1770.63711,1.761269338
3422.709764,1.231721957
3695.559687,1.151640995
6548.554827,0.80191926
7728.857005,0.725310837
9723.950485,0.606404678
10816.27528,0.537960724
12563.54438,0.551025091
13267.61545,0.532745437
13761.4593,0.511883174
14780.89254,0.516620835
14885.48871,0.50439068
60.17123792,1.231578464
69.74775218,1.198818219
76.22296026,1.134233015
73.44599887,1.150151026
77.81858633,1.181250278
77.98783809,1.189622902
81.59303692,1.206915952
95.46084853,1.205676415
103.5236411,1.317389982
113.9046277,1.296997387
147.4807187,1.497620773
219.3628897,2.324955338
361.0619923,2.659005079
1045.343776,2.181061036
1715.083666,1.690181867
3067.22363,1.22773402
5189.794685,0.940283135
7026.844992,0.758431675
