ahl,atc,mean,cv,variant,strain,date,file
0,0,20.37007234,2.096654548,331_sc101,mg1655,170720,126
0,0.066741993,17.06434179,2.294235419,331_sc101,mg1655,170720,127
0,0.089089872,20.32242374,2.115857996,331_sc101,mg1655,170720,128
0,0.118920712,20.0853417,2.085606038,331_sc101,mg1655,170720,129
0,0.158740105,21.53234703,1.997885265,331_sc101,mg1655,170720,130
0,0.211892619,21.82298515,2.02064897,331_sc101,mg1655,170720,131
0,0.282842712,25.01781095,1.863928172,331_sc101,mg1655,170720,132
0,0.377549725,26.78689118,1.677623129,331_sc101,mg1655,170720,133
0,0.50396842,42.0935613,1.412763369,331_sc101,mg1655,170720,134
0,0.672717132,53.30313475,1.256686439,331_sc101,mg1655,170720,135
0,0.897969639,87.34177697,1.076191104,331_sc101,mg1655,170720,136
0,1.198645662,137.8016334,0.87547291,331_sc101,mg1655,170720,137
0,1.6,236.6437461,0.699255192,331_sc101,mg1655,170720,138
0,2.135743767,373.6701985,0.556783279,331_sc101,mg1655,170720,139
0,2.850875898,609.7619584,0.415990688,331_sc101,mg1655,170720,140
0,3.805462768,843.1344963,0.334086588,331_sc101,mg1655,170720,141
0,5.079683366,1071.4618,0.288613608,331_sc101,mg1655,170720,142
0,6.780563804,1397.649775,0.25790267,331_sc101,mg1655,170720,143
0,9.050966799,1552.662146,0.256714425,331_sc101,mg1655,170720,144
0,12.0815912,1686.379826,0.249524705,331_sc101,mg1655,170720,145
0,16.12698944,1877.506507,0.26706723,331_sc101,mg1655,170720,146
0,21.52694823,2005.55878,0.2811195,331_sc101,mg1655,170720,147
0,28.73502844,2088.083733,0.288958812,331_sc101,mg1655,170720,148
0,38.35666117,2147.741618,0.307312971,331_sc101,mg1655,170720,149
0,100,2259.59754,0.31630828,331_sc101,mg1655,170720,150
0,0,19.97212224,2.241225744,331_sc101,mg1655,170724,126
0,0.077915932,18.9217717,2.133995634,331_sc101,mg1655,170724,127
0,0.104005292,22.70074715,1.972963024,331_sc101,mg1655,170724,128
0,0.138830408,22.29713162,1.964469176,331_sc101,mg1655,170724,129
0,0.185316362,22.41527993,1.951418267,331_sc101,mg1655,170724,130
0,0.247367666,23.53808404,1.852765442,331_sc101,mg1655,170724,131
0,0.330196219,22.96933735,1.91134706,331_sc101,mg1655,170724,132
0,0.440759073,37.10628023,1.44390132,331_sc101,mg1655,170724,133
0,0.588342776,50.98278475,1.269257256,331_sc101,mg1655,170724,134
