ahl,atc,mean,median,cv,variant,strain,date,file,note
0,0.066741993,60.64570147,190.4731898,1.261185764,331/347d,mg1655,170725,1,
8.67E-04,0.066741993,62.44491381,192.2796424,1.275864958,331/347d,mg1655,170725,2,
9.40E-04,0.066741993,61.05380177,192.2796424,1.228222113,331/347d,mg1655,170725,3,
1.02E-03,0.066741993,63.38243163,194.1032274,1.231582732,331/347d,mg1655,170725,4,
1.10E-03,0.066741993,69.49937354,199.6784096,1.201673106,331/347d,mg1655,170725,5,
0.001197037,0.066741993,67.35473819,195.9441073,1.217377836,331/347d,mg1655,170725,6,
0.001297511,0.066741993,71.08355911,199.6784096,1.226340898,331/347d,mg1655,170725,7,
0.001406418,0.066741993,75.82179834,203.4838802,1.278132475,331/347d,mg1655,170725,8,
0.001524467,0.066741993,83.36375723,207.3618754,1.33968089,331/347d,mg1655,170725,9,
0.001652424,0.066741993,98.5518696,217.3832944,1.326617397,331/347d,mg1655,170725,10,
0.001791121,0.066741993,134.7169027,225.7480301,1.825354856,331/347d,mg1655,170725,11,
0.00194146,0.066741993,209.4011803,248.095266,2.257643459,331/347d,mg1655,170725,12,
0.002104417,0.066741993,265.4062141,257.6417739,2.369401295,331/347d,mg1655,170725,13,
0.002281053,0.066741993,1606.976973,558.6904485,1.728308116,331/347d,mg1655,170725,14,
0.002472514,0.066741993,1266.695367,462.5750778,1.845870862,331/347d,mg1655,170725,15,
0.002680046,0.066741993,4244.473967,3326.346208,1.03766318,331/347d,mg1655,170725,16,
0.002904998,0.066741993,5669.04055,5086.777423,0.803538281,331/347d,mg1655,170725,17,
0.00314883,0.066741993,7344.32959,6688.470384,0.647666798,331/347d,mg1655,170725,18,
0.00341313,0.066741993,9640.496416,8468.628437,0.591081973,331/347d,mg1655,170725,19,
0.003699613,0.066741993,10138.17244,9047.096739,0.520254537,331/347d,mg1655,170725,20,
0.004010142,0.066741993,11145.61961,9849.275634,0.530611006,331/347d,mg1655,170725,21,
